"101     ","新世纪终身保险                "
"102     ","重大疾病终身保险 A            "
"103     ","重大疾病终身保险(B)           "
"105     ","小博士计划保险B               "
"107     ","常青树终身保险98 B            "
"108     ","常青树终身保险98 C            "
"109     ","常青树终身保险98              "
"111     ","新世纪终身保险　期满          "
"201     ","新世纪终身保险98期满          "
"202     ","新世纪终身保险98 60岁满       "
"203     ","重大疾病终身保险A 98          "
"205     ","重大疾病终身保险B 98          "
"206     ","小博士计划保险98              "
"506     ","世纪永安终身保险              "
"507     ","世纪英才终身保险              "
"528     ","信贷无忧借款人保险            "
"601     ","福寿两全保险３年期－趸交      "
"602     ","福寿两全保险５年期－趸交      "
"603     ","福寿两全保险８年期－趸交      "
"605     ","福寿两全保险１０年期          "
"606     ","福寿两全保险２０年期          "
"607     ","福寿两全保险３０年期          "
"608     ","希望英才教育保险              "
"609     ","松鹤相伴养老年金保险          "
"701     ","松鹤相伴养老年金保险          "
"702     ","松鹤相伴养老年金保险          "
"703     ","松鹤相伴养老年金保险          "
"9B4     ","世纪长乐终身分红保险Ｂ款      "
"A01     ","松鹤延年两全保险55岁领        "
"A02     ","松鹤延年两全保险60岁领        "
"A03     ","松鹤延年两全保险65岁领        "
"A04     ","松鹤延年两全保险70岁领        "
"A05     ","安享人生两全保险              "
"A06     ","安享人生两全保险（交至50)     "
"A07     ","安享人生两全保险（交至55)     "
"A08     ","安享人生两全保险（交至60)     "
"A09     ","安享人生两全保险（交至65)     "
"A10     ","泰康安康人生保障计划          "
"A11     ","泰康乐享新生活养老年金保险　  "
"A15     ","泰康尊享呵护养老年金保险　    "
"A16     ","泰康畅赢人生保险计划          "
"A32     ","泰康乐行综合意外保障计划      "
"A33     ","泰康人生赢家保险计划B款       "
"A34     ","泰康盈泰B款年金保险           "
"A35     ","泰康盈泰C款年金保险           "
"A36     ","泰康盈泰D款年金保险           "
"A37     ","泰康雄孩子保障计划            "
"A38     ","泰康盈泰E款养老年金保险       "
"A39     ","泰康健康尊享医疗保险          "
"A40     ","泰康乐安康终身重大疾病保险    "
"A41     ","泰康无忧少儿重大疾病保险      "
"A42     ","泰康微互助短期恶性肿瘤疾病保  "
"A43     ","健康百分百                    "
"A46     ","泰康鑫瑞人生两全保险（分红型  "
"A47     ","泰康健康优享住院费用医疗保险  "
"A64     ","泰康全能保2017保障计划        "
"A65     ","泰康汇赢年金保险（分红型）    "
"A66     ","泰康乐行天下意外保障计划      "
"AA1     ","松鹤延年两全保险55岁领        "
"AA2     ","松鹤延年两全保险60岁领        "
"AA3     ","松鹤延年两全保险65岁领        "
"AA4     ","松鹤延年两全保险70岁领        "
"AA5     ","泰康安享人生Ｂ款两全保险      "
"AB1     ","松鹤延年两全保险55岁领Ｂ款    "
"AB2     ","松鹤延年两全保险60岁领Ｂ款    "
"AB3     ","松鹤延年两全保险65岁领Ｂ款    "
"AB4     ","松鹤延年两全保险70岁领Ｂ款    "
"207     ","小博士计划保险B 98            "
"208     ","还本终身保险 98               "
"209     ","永相伴终身保险98              "
"301     ","泰康养老金保险1998            "
"302     ","泰康养老金保险1998            "
"303     ","泰康养老年金保险1998          "
"305     ","泰康养老年金保险1998          "
"306     ","泰康养老年金保险1998          "
"307     ","泰康两全１０年                "
"308     ","泰康两全２０年                "
"309     ","泰康两全30年                  "
"502     ","综合意外伤害保险              "
"503     ","生命关爱重大疾病终身保险      "
"505     ","世纪长安终身保险              "
"705     ","松鹤相伴养老年金保险          "
"706     ","松鹤相伴养老年金保险55岁      "
"707     ","松鹤相伴养老年金保险60岁      "
"801     ","吉祥相伴定期保险              "
"802     ","吉祥相伴定期保险－２０年      "
"803     ","吉祥相伴定期保险－３０年      "
"901     ","世纪长乐终身分红保险          "
"9A1     ","世纪长乐终身分红保险          "
"9A2     ","世纪长乐终身分红保险          "
"9A3     ","世纪长乐终身分红保险          "
"9A4     ","世纪长乐终身分红保险          "
"9B1     ","世纪长乐终身分红保险Ｂ款　    "
"9B2     ","世纪长乐终身分红保险Ｂ款      "
"9B3     ","世纪长乐终身分红保险Ｂ款      "
"A17     ","泰康尊享世家重疾保险          "
"A18     ","泰康乐福2014保险计划          "
"A20     ","泰康万里无忧Ｂ款两全保险      "
"A21     ","康逸人生保障计划              "
"A22     ","泰康尊享世家终身寿            "
"A23     ","老年恶性肿瘤疾病保险          "
"A24     ","泰康乐鑫保险计划              "
"A25     ","泰康盈利宝年金保障计划        "
"A26     ","挚爱人生恶性肿瘤疾病保险      "
"A27     ","泰康全能保2015保障计划        "
"A28     ","泰康人生赢家年金保障计划      "
"A29     ","泰康康佑人生重大疾病保障计划  "
"A30     ","泰康鑫享人生保险计划          "
"A31     ","泰康甜蜜人生A款特定疾病保     "
"A48     ","泰康幸福人生A款终身年金保     "
"A49     ","泰康尊享世家意外伤害保险      "
"A50     ","泰康全能宝贝健康计划          "
"A51     ","泰康全能宝贝全能计划          "
"A52     ","泰康尊享岁月保险计划          "
"A55     ","泰康幸福金升保险计划          "
"A56     ","泰康鑫稳赢年金保险            "
"A57     ","泰康祥佑金生保障计划          "
"A58     ","泰康健康尊享B款医疗保险       "
"A59     ","泰康乐赢家终身寿险            "
"A60     ","泰康康护一生重大疾病保障计划  "
"A61     ","泰康悦行无忧两全保险          "
"A62     ","泰康全心健康保障计划          "
"A63     ","泰康全心全意保障计划          "
"ABF     ","财富人生B款终身年金保险       "
"AC1     ","永福人生年金保险(分红型)      "
"AC2     ","永福人生年金保险(分红型)      "
"AC3     ","永福人生年金保险(分红型)      "
"AC4     ","永福人生年金保险(分红型)      "
"AC5     ","永福人生年金保险(分红型)      "
"AC6     ","泰康盈泰Ａ款年金保险          "
"AC7     ","幸福人生B款年金保险           "
"AC9     ","泰康优雅人生保险计划          "
"ACC     ","定期人寿保险                  "
"ACR     ","投资者的选择非-公基金定期     "
"AD1     ","泰康乐金两全保险（分红型      "
"AD2     ","泰康乐宝少儿两全（分红型）    "
"AD3     ","泰康乐宁终身重大疾病保险      "
"AD4     ","泰康乐福两全保险（分红型）    "
"AD5     ","泰康乐鸿防癌保障计划30年领    "
"AD6     ","泰康乐鸿防癌保障计划70岁领    "
"AD7     ","泰康万里无忧两全保险          "
"AD8     ","泰康乐顺少儿重大疾病保险      "
"AD9     ","泰康乐顺意外保险              "
"ADA     ","泰康汇享有约养老年金保险      "
"AE2     ","泰康乐顺女性疾病保险          "
"AE3     ","睿赢年金（分红型）            "
"AE4     ","泰康乐宣两全(2014)            "
"AE5     ","泰康乐宣定寿(2014)            "
"AE6     ","泰康乐顺(2014)意外伤害        "
"AE7     ","泰康富足人生年金保险（分红型  "
"AE8     ","泰康全能保Ａ                  "
"B15     ","泰康享泰年金保障计划          "
"B16     ","泰康家倍保享泰年金保障计划    "
"B17     ","泰康祥云康意保障计划          "
"B18     ","泰康家倍保E款意外保障计划     "
"B19     ","泰康祥云二号D款保障计划       "
"B20     ","泰康家倍保E款意外（交行）     "
"B21     ","泰康安康无忧住院费用医疗保险  "
"B22     ","泰康臻爱健康重大疾病保险      "
"B23     ","家倍保F款（交行）             "
"B24     ","家倍保F款（招行）             "
"B25     ","家倍保康顺意外（交行）        "
"B26     ","家倍保康顺意外（招行）        "
"B27     ","泰康意无忧保障计划            "
"BA1     ","泰康祥云顺意两全保险          "
"BBE     ","泰康祥云家倍保意外保障计划    "
"BBF     ","泰康祥云通倍保重疾            "
"BBG     ","泰康祥云通倍保意外保障计划    "
"BBH     ","家倍保Ｄ款保障计划            "
"BC1     ","泰康祥云康顺B款（2014）       "
"BKA     ","泰康安心两全保险（分红型）    "
"C01     ","世纪宝贝两全保险　　　        "
"C03     ","智慧宝贝终身保险　　　        "
"C04     ","智慧宝贝（交至15岁）          "
"C05     ","智慧宝贝（交至18岁）          "
"CFC     ","财富人生C款终身年金保险       "
"CFD     ","财富人生Ｄ款终身年金保险      "
"CFE     ","财富人生E款年金保险（分红)    "
"CFR     ","财富人生终身年金保险          "
"F02     ","泰康新天福两全保险（分红型）  "
"F03     ","泰康新天福两全保险（分红型）  "
"F04     ","泰康新天福两全保险（分红型）  "
"FAP     ","家庭保障计划A                 "
"FBP     ","家庭保障计划B                 "
"FCP     ","家庭保障计划C                 "
"FDP     ","家庭保障计划D                 "
"FEP     ","家庭保障计划E                 "
"FFP     ","家庭保障计划F                 "
"FGP     ","家庭保障计划G                 "
"FHP     ","家庭保障计划H                 "
"FIC     ","泰康康银盛世终身年金保险      "
"FIP     ","家庭保障计划I                 "
"FJP     ","家庭保障计划J                 "
"H12     ","泰康悦享中华A款高端医疗       "
"H13     ","泰康悦享中华B款高端医疗       "
"H14     ","泰康悦享环球尊享版            "
"HA1     ","泰康少儿家庭医生门诊保险      "
"HA9     ","泰康乐康健康保险计划          "
"HR6     ","泰康如意尊享住院费用医疗保险  "
"HRA     ","泰康如意尊享住院费用Ａ款      "
"IA1     ","泰康转换年金（分红型）        "
